"","Recruit_ID","Treatment","Tank","Day","polyp_area","nDay"
"537","1204","CHE+DWT","T5","60",1.374,60
"538","1204","CHE+DWT","T5","67",1.285,67
"539","1207","CHE+DWT","T5","11",0.273,11
"540","1207","CHE+DWT","T5","18",0.283,18
"541","1208","CHE+DWT","T5","11",0.243,11
"542","1208","CHE+DWT","T5","18",0.254,18
"543","1208","CHE+DWT","T5","24",0.229,24
"544","1208","CHE+DWT","T5","38",0.204,38
"545","1208","CHE+DWT","T5","46",0.415,46
"546","1208","CHE+DWT","T5","54",0.522,54
"547","1208","CHE+DWT","T5","60",0.68,60
"548","1208","CHE+DWT","T5","67",0.707,67
"549","1209","CHE+DWT","T5","11",0.227,11
"550","1209","CHE+DWT","T5","18",0.089,18
"551","1209","CHE+DWT","T5","24",0.136,24
"552","1209","CHE+DWT","T5","38",0.111,38
"553","1209","CHE+DWT","T5","46",0.103,46
"554","1209","CHE+DWT","T5","54",0.158,54
"555","1209","CHE+DWT","T5","60",0.099,60
"556","1209","CHE+DWT","T5","67",0.179,67
"557","1210","CHE+DWT","T5","11",0.272,11
"558","1210","CHE+DWT","T5","18",0.249,18
"559","1210","CHE+DWT","T5","24",0.242,24
"560","1210","CHE+DWT","T5","38",0.282,38
"561","1210","CHE+DWT","T5","46",0.388,46
"562","1210","CHE+DWT","T5","54",0.576,54
"563","1210","CHE+DWT","T5","60",0.604,60
"564","1210","CHE+DWT","T5","67",0.398,67
"565","1213","CHE+DWT","T5","11",0.208,11
"566","1213","CHE+DWT","T5","18",0.222,18
"567","1213","CHE+DWT","T5","24",0.211,24
"568","1213","CHE+DWT","T5","38",0.301,38
"569","1213","CHE+DWT","T5","46",0.436,46
"570","1213","CHE+DWT","T5","54",0.62,54
"571","1213","CHE+DWT","T5","60",0.794,60
"572","1213","CHE+DWT","T5","67",0.816,67
"573","1223","CHE+DWT","T5","11",0.206,11
"574","1223","CHE+DWT","T5","18",0.243,18
"575","1223","CHE+DWT","T5","24",0.232,24
"576","1223","CHE+DWT","T5","38",0.249,38
"577","1223","CHE+DWT","T5","46",0.415,46
"578","1223","CHE+DWT","T5","54",0.471,54
"579","1223","CHE+DWT","T5","60",0.509,60
"580","1223","CHE+DWT","T5","67",0.688,67
"581","1224","CHE+DWT","T5","11",0.247,11
"582","1224","CHE+DWT","T5","18",0.232,18
"583","1224","CHE+DWT","T5","24",0.177,24
"584","1225","CHE+DWT","T5","11",0.278,11
"585","1225","CHE+DWT","T5","18",0.305,18
"586","1225","CHE+DWT","T5","24",0.238,24
"587","1225","CHE+DWT","T5","38",0.392,38
"588","1225","CHE+DWT","T5","46",0.488,46
"589","1225","CHE+DWT","T5","54",0.577,54
"590","1225","CHE+DWT","T5","60",0.572,60
"591","1225","CHE+DWT","T5","67",0.758,67
"592","1228","CHE+DWT","T5","11",0.212,11
"593","1228","CHE+DWT","T5","18",0.235,18
"594","1228","CHE+DWT","T5","24",0.159,24
"595","1229","CHE+DWT","T5","11",0.252,11
"596","1229","CHE+DWT","T5","18",0.277,18
"597","1229","CHE+DWT","T5","24",0.199,24
"598","1229","CHE+DWT","T5","38",0.411,38
